Name,BoQ_Code,Description,Facility_Building,Construction_Discipline,Unit of Measure,Project_Qty,Unit_Price,Total Value
"2041-01-22 – Воздухораспределители, жалюзийные решетки,2041-01-22,""Воздухораспределители, жалюзийные решетки"",16160-13 ,Вентиляция ,,,,",,,,,,,,
"2041-02-01-05 – Клапан ctrl потока, 2-ходовой w. привод и 2 импульсные трубки DN 32,2041-02-01-05,""Клапан ctrl потока, 2-ходовой w. привод и 2 импульсные трубки DN 32"",16160-13 ,Отопление ,шт. / pcs,""30,00"",""₽ 3499,62"",""₽ 104988,60""",,,,,,,,
"2041-02-04-13 – Регистр из стальных водогазопроводных труб диаметром нитки 150 мм,2041-02-04-13,Регистр из стальных водогазопроводных труб диаметром нитки 150 мм,16160-13 ,Отопление ,м / m,""12,80"",""₽ 3302,75"",""₽ 42275,20""",,,,,,,,
"2041-01-23-22 – Заслонки воздушные и клапаны воздушные КВР с ручным приводом: диаметром до 1000 мм,2041-01-23-22,Заслонки воздушные и клапаны воздушные КВР с ручным приводом: диаметром до 1000 мм,16160-13 ,Вентиляция ,шт. / pcs,""2,00"",""₽ 15760,00"",""₽ 31520,00""",,,,,,,,
"2041-03-01-01 – Вентиляторы радиальные массой: до 0,05 т,2041-03-01-01,""Вентиляторы радиальные массой: до 0,05 т"",16160-13 ,Вентиляция ,шт. / pcs,""2,00"",""₽ 76726,93"",""₽ 153453,86""",,,,,,,,
"2041-03-02-01 – Вентиляторы осевые, канальные массой: до 0,025 т,2041-03-02-01,""Вентиляторы осевые, канальные массой: до 0,025 т"",16160-13 ,Вентиляция ,шт. / pcs,""7,00"",""₽ 9415,01"",""₽ 65905,07""",,,,,,,,
"2041-01-26-22 – Прокладка воздуховодов из листовой и оцинкованной стали класса Н (нормальные) и П (плотные),2041-01-26-22,Прокладка воздуховодов из листовой и оцинкованной стали класса Н (нормальные) и П (плотные),16160-13 ,Вентиляция ,м2 / m2,""1241,62"",""₽ 6716,56"",""₽ 8339415,23""",,,,,,,,
"2041-01-10-01 – Прецизионный кондиционер - мощность охлаждения до 35 кВт (вес до 400 кг),2041-01-10-01,Прецизионный кондиционер - мощность охлаждения до 35 кВт (вес до 400 кг),16160-13 ,Кондиционирование,шт. / pcs,,""₽ 68827,78"",",,,,,,,,
"2041-01-08-05 – Агрегат или машина компрессорно-конденсаторная, масса: 4,45 т ,2041-01-08-05,""Агрегат или машина компрессорно-конденсаторная, масса: 4,45 т "",16160-13 ,Кондиционирование,шт. / pcs,,""₽ 495569,00"",",,,,,,,,
"2041-02-04-02 – Конвектор,2041-02-04-02,Конвектор,16160-13 ,Отопление ,шт. / pcs,,""₽ 2124,44"",",,,,,,,,
